CODE,TITLE,R1_POINTS_2019,R2_POINTS_2019,EOS_2019,MID_2019,R1_POINTS_2020,R2_POINTS_2020,R1_POINTS_2021,R2_POINTS_2021
AC120,International Business                            ,234,234,234,269,209,,294,294
AC137,Liberal Arts                                      ,275,252,252,275,252,,271,270
AD101,First Year Art &amp; Design (Common Entry)        ,,#+Matric,# +matric 550,,,#+matric,#554,
AD102,Graphic Design and Moving Image Design            ,#+Matric,,# +matric 635,,#+matric,,#538,
AD103,Textile &amp; Surface Design and Jewellery &amp; O,cts,#+Matric,# +matric 545,,cts,(,#505,
AD202,Education &amp; Design or Fine Art (Second Level T,h,#+Matric,# +matric 580,,h,#+matric,#591,
AD204,Fine Art                                          ,#+Matric,,# +matric 600,,#+matric,,#514,
AD211,Fashion Design                                    ,#+Matric,,# +matric 600,,#+matric,,#760,#679
AD212,Product Design                                    ,#+Matric,,# +matric 600,,#+matric,,#413,
AD215,Visual Culture                                    ,300,,300,338,377,320,337,300
AD217,Illustration                                      ,#+Matric,,# +matric 625,,#+matric,,#738,
AD222,Interaction Design                                ,#+Matric,,# +matric 657,,#+matric,,#444,
AL801,Software Design with Virtual Reality and Gaming   ,304,,304,328,303,,300,
AL802,Software Design with Cloud Computing              ,301,,301,306,332,,313,
AL803,Software Design with Mobile Apps and Connected Dev,309,,309,337,337,,350,
AL805,Network Management and Cloud Infrastructure       ,329,,329,442,333,,321,
AL810,Quantity Surveying                                ,307,,307,349,319,,328,
AL811,Civil Engineering                                 ,,,,,320,,,
AL820,Mechanical and Polymer Engineering                ,300,,300,358,308,,327,
AL830,General Nursing                                   ,410,,410,429,442,,451*,444
AL832,Psychiatric Nursing                               ,387*,387,387,403,387*,384,440*,431
AL835,Pharmacology                                      ,,,,,,,356,
AL836,Nutrition and Health Science                      ,352,,352,383,334,,346,
AL837,Sports Science with Exercise Physiology           ,351,,351,392,351,,357,
AL838,Biotechnology                                     ,303,,302,372,307,,324,
AL839,Microbiology                                      ,322,,322,371,325,,325,
AL840,Pharmaceutical Sciences                           ,328,,328,411,347,,346,
AL841,Athletic and Rehabilitation Therapy               ,423,,423,430,430,,477,476*
AL842,Bioveterinary Science                             ,310,,310,366,313,,338,
AL843,Physical Activity and Health Science              ,310,,310,330,306,,306,
AL849,Culinary Entrepreneurship                         ,,,,,,,297,
AL850,Business                                          ,307,,307,356,309,,309,
AL851,Business and Law                                  ,301,,301,341,295,,302,
AL852,Accounting (with optional placement)              ,305,290,290,346,309,,336,
AL853,Accounting and Law                                ,305,,305,320,,,,
AL854,Sport Management (with international placement)   ,,,,,302,299,300,299
AL855,Hospitality Management (with International placeme,312,,312,357,308,,309,
AL857,Digital Marketing                                 ,299,,300,360,304,,304,
AL859,International Business                            ,,,,,,,308,
AL860,Social Care Practice                              ,310,309,309,338,300,,301,
AL861,Animation and Illustration (portfolio)            ,#615,,#615,899,#578,,#575,
AL863,Graphic and Digital Design (portfolio)            ,#703,,#703,898,#781,,#747,
AL864,Early Years Care and Education                    ,306,,307,348,307,,306,
AL870,Applied Psychology                                ,409,,409,445,418,,484*,467*
AS001,Education Home Economics and Biology - with concur,468,462,456*,497,510,,542,533
AS002,Education Home Economics and Religious Ed - with c,401*,400*,400*,433,441*,434*,464,452*
AS003,Education Home Economics and Irish - with concurre,430,421,421,457,440*,440,463*,457
AS051,Nutrition Food and Business Management            ,339,337,337,399,328,317,378,347
AS054,Home Economics                                    ,390,387,387,401,408,398,440*,419*
AS110,General Nursing                                   ,398,397,391*,409,419*,,440*,432
AS130,Intellectual Disability Nursing                   ,320,319,317,338,336*,328,387,358
BN101,Business                                          ,252,,252,289,,,,
BN103,Business and Information Technology               ,254,,254,290,,,,
BN104,Computing (Information Technology)                ,260,,260,293,,,,
BN107,Applied Social Studies in Social Care             ,300,,300,328,,,,
BN108,Engineering (Common Entry with Award options)     ,270,,271,318,,,,
BN109,Business (Common Entry with Award options)        ,260,,260,279,,,,
BN110,International Business                            ,253,,253,308,,,,
BN111,Sports Management and Coaching                    ,270,,270,298,,,,
BN112,Creative Digital Media                            ,280,,280,329,,,,
BN113,Horticulture                                      ,290,289,289,321,,,,
BN114,Accounting and Finance                            ,280,,280,332,,,,
BN115,Community and Youth Development                   ,250,,250,298,,,,
BN117,Computer Engineering in Mobile Systems            ,273,,273,311,,,,
BN118,Early Childhood Care and Education                ,290,,290,320,,,,
BN119,Digital Marketing                                 ,270,,270,308,,,,
BN120,Digital Forensics and Cyber Security              ,281,,281,326,,,,
BN121,Mechatronic Engineering                           ,276,,276,340,,,,
BN123,Design Technology and Innovation                  ,271,,297,318,,,,
BY001,Business                                          ,,,,,,,210,210
CI101,Counselling and Psychotherapy (Limerick)          ,276,,276,328,,,,
CI110,Counselling and Psychotherapy                     ,,,,,310,,292,
CI111,Counselling and Addiction Studies                 ,,,,,301,,290,
CI112,Counselling and Youth Studies                     ,,,,,311,,325,
CK101,Arts - 3 years                                    ,300,,300,368,300,,300,
CK102,Social Science                                    ,391,,391,431,412,,434,431
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,#340,,#340,409,#302,,#339,
CK105,Film and Screen Media - 3 years or 4 years (Intern,398,397,397,442,368,337,421,420*
CK107,Geographical and Archaeological Sciences - 3 or 4 ,326,,326,388,328,,312,
CK108,Arts International - 4 years                      ,429,,429,466,401,,440*,440
CK109,English - 3 years or 4 years (International Pathwa,349,347,347,423,318,,367,357
CK110,World Languages                                   ,456,,456,506,452,433,488,
CK111,Early Years and Childhood Studies                 ,398,,398,429,419,,409,403
CK112,Theatre and Performative Practices - 3 or 4 years ,#324,,#324,470,#330,,#371,
CK113,Criminology - 3 years or 4 years (International Pa,408,,408,430,423,,464,463
CK114,Social Science (Youth and Community Work) - 3 year,,,#,,,,#,
CK115,Social Work - Mature Applicants only              ,#,,#,,,,,
CK116,Sports Studies and Physical Education             ,499,,499,520,,,,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,307,,307,361,336,,347,339
CK120,Applied Psychology                                ,523,509,506,532,533*,532*,544,543*
CK121,Psychology and Computing - 3 or 4 years (Work Expe,402,393,393,466,466,,499,488
CK122,Government and Political Science                  ,355,,355,410,337,328,399,
CK123,Anthropology                                      ,,,,,308,,308,
CK124,Education - Gaeilge                               ,,,,,463,462,473,
CK125,Sports Studies and Physical Education             ,,,,,510*,509*,564,555*
CK201,Commerce                                          ,465*,,465*,489,477*,,500,499*
CK202,Accounting                                        ,467,,467,506,509,,553,543*
CK203,Business Information Systems                      ,409,,409,444,430,,455,452
CK204,Finance                                           ,531,,531,555,556,,566*,566*
CK205,Commerce (International) with French              ,423,409,409,473,445,,465,
CK206,Commerce (International) with German              ,408,,408,446,420,418,466,455
CK207,Commerce (International) with Italian             ,408,,408,425,388,,423,418
CK208,Commerce (International) with Hispanic Studies    ,431,,431,455,402,,488,486
CK209,Commerce (International) with Irish               ,509,,509,528,484,,507,
CK211,Commerce (International) with Chinese Studies     ,398,,398,420,397,,385,
CK212,Economics (Transformational Learning) - 3 or 4 yea,400,,400,429,444,,445,444
CK213,Food Marketing and Entrepreneurship               ,,,,,462,,466,
CK214,International Development                         ,,,,,346,,332,
CK301,Law (Pathways) - 3 or 4 years                     ,476,,476,519,507,499,533,532*
CK302,Law and French                                    ,453,,453,531,542,,545,
CK304,Law and Irish                                     ,462,,462,510,540,,588,
CK307,Law and Business                                  ,522,,522,554,556,,589*,589*
CK401,Computer Science                                  ,402,,402,456,468,,503,495
CK402,Biological and Chemical Sciences                  ,498,,498,520,510*,509*,555*,555
CK404,Biological Earth and Environmental Sciences       ,412,,412,451,467,,500,495*
CK405,Genetics                                          ,478,476*,476,496,487,,543,
CK406,Chemical Sciences                                 ,465,457,457,488,485,472,532,
CK407,Mathematical Sciences                             ,554,531,531,578,566,565*,566,
CK408,Physics and Astrophysics                          ,511,,511,566,554,542,566,
CK409,Industrial Physics (offered jointly by UCC and CIT,413,,413,532,432,,465,
CK411,Data Science and Analytics                        ,509,,509,542,510,,531,
CK412,Agricultural Science                              ,473,457,457,509,496*,496*,506,
CK502,Food Marketing and Entrepreneurship               ,433,,433,456,,,,
CK504,Nutritional Sciences                              ,492,,492,509,518,,555,554*
CK505,Food Science                                      ,444,,444,477,441,440*,463,
CK506,International Development and Food Policy         ,380,367,367,410,,,,
CK600,Engineering                                       ,476,465*,465,532,487,,510,509*
CK606,Architecture (offered jointly by UCC and CIT)     ,465,,465,496,484,476,543,
CK701,Medicine (Undergraduate Entry - HPAT required)    ,#729,,#729,740,#731,,#738,#737*
CK702,Dentistry                                         ,590,,590,613,613*,613*,625*,625*
CK703,Pharmacy                                          ,577,,577,589,590,589*,613*,613*
CK704,Occupational Therapy                              ,533,532*,532*,554,566,555*,601*,
CK705,Speech and Language Therapy                       ,511,509*,509,529,520,,568,566*
CK706,Public Health Sciences                            ,420,419,419,451,454,,500,
CK707,Medical and Health Sciences                       ,521,512,510*,543,542,541,578*,
CK710,General Nursing                                   ,444*,443*,440,466,454*,,498*,497*
CK712,Children`s and General Nursing (Integrated)       ,509*,499*,499,520,533,,565,
CK720,Mental Health Nursing                             ,413,,398,429,423,,455,452
CK730,Intellectual Disability Nursing                   ,388,369,359,388,419,411,431,
CK740,Midwifery                                         ,454,,444,474,484,,509*,
CK791,Medicine - Graduate Entry (GAMSAT required)       ,,,#58*,59,#57*,,#60*,#60*
CM001,Education - Primary Teaching                      ,453,452*,452*,462,484*,,508,
CM002,Education - Primary Teaching - Gaeltacht Applicant,#421,,#421,440,,,#462,
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#491,,#491,506,#528,,#513,
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#492,,#492,569,#494,,#480,
CM010,Education Studies                                 ,317,317,317,373,319,,382,327
CM020,Early Childhood Education                         ,336,,336,363,327,,317,
CR105,Chemical and Biopharmaceutical Engineering        ,432,,432,498,443,,443,
CR106,Software Development                              ,351,,351,393,411,,431,
CR108,Mechanical Engineering                            ,425,,425,487,434,,434,
CR109,Structural Engineering                            ,341,,341,467,394,,396,
CR110,Automotive Business Management and Technology     ,318,,318,347,311,,336,
CR112,Creative Digital Media                            ,335,,335,389,361,,390,
CR116,Computer Systems                                  ,318,,318,381,332,,365,
CR121,Music at CIT Cork School of Music                 ,#633,,#633,1052,#868,#666,#904,#904
CR125,Popular Music: Electric Bass Guitar at CIT Cork Sc,#972,,#972,1021,#1088,,#1028,
CR126,Popular Music: Drums at CIT Cork School of Music  ,#806,,#878,1043,#801,,,
CR127,Popular Music: Electric Guitar at CIT Cork School ,#647,#584,#584,761,#838,#768,,
CR128,Popular Music: Keyboards at CIT Cork School of Mus,#839,,#839,1009,#840,,,
CR129,Popular Music: Voice at CIT Cork School of Music  ,#899,#857,#857,927,#841,,,
CR130,Musical Theatre                                   ,#545,#500,#500,600,#548,#518,#525,
CR150,Business Information Systems                      ,326,,326,371,335,,350,
CR210,Contemporary Applied Art (Ceramics Glass Textiles),#708,,#979,979,#790,,#450,
CR220,Fine Art at CIT Crawford College of Art and Design,#620,,#620,819,#671,,#400,
CR225,Photography with New Media                        ,#920,,#920,920,#250,,#435,
CR305,Physical Sciences (Common Entry)                  ,279,,279,309,282,,260,
CR310,IT Management                                     ,282,,282,317,297,,347,
CR320,Biomedical Science (Offered jointly by CIT and UCC,546,,546,556,565,,590*,
CR325,Pharmaceutical Biotechnology                      ,388,,388,422,398,,466,
CR333,Nutrition and Health Science                      ,360,,360,393,402,,425,
CR335,Biological Sciences (Common Entry)                ,381,,381,419,420,,473,
CR340,Analytical Chemistry with Quality Assurance       ,288,,288,315,251,,327,
CR360,Instrument Engineering                            ,291,,291,329,261,,301,
CR365,Environmental Science and Sustainable Technology  ,334,,334,362,253,,262,
CR370,Agri-Biosciences                                  ,399,,408,431,397,,368,
CR400,Accounting                                        ,316,,316,389,316,,315,
CR420,Marketing                                         ,288,,288,329,285,,290,
CR425,International Business with Language              ,300,,300,392,298,,279,
CR430,Sport and Exercise Management                     ,,,,,322,,402,
CR435,Coaching Science and Sports Pedagogy              ,,,,,,,410,
CR440,Montessori Education                              ,,,,,288,,409,408
CR500,Engineering (Common Entry)                        ,381,,381,424,411,,475,
CR510,Sustainable Energy Engineering                    ,319,,319,343,320,,320,
CR520,Biomedical Engineering                            ,434,,434,477,444,,444,
CR560,Architectural Technology                          ,288,,288,332,308,,375,
CR565,Interior Architecture                             ,336,,336,390,359,,431,
CR570,Quantity Surveying                                ,279,,279,342,336,,375,
CR572,Construction Management                           ,253,,253,300,269,,300,
CR580,Electrical Engineering                            ,344,,344,374,318,,342,
CR590,Electronic Engineering                            ,342,,342,411,303,,329,
CR600,Visual Communications                             ,#587,,#587,888,#562,,#280,
CR660,Tourism Management                                ,249,,249,290,252,,246,
CR700,Theatre and Drama Studies at CIT Cork School of Mu,#768,,#768,906,#740,#645,#609,#609
CR930,Home Economics and Business                       ,,,,,,,518*,
CT125,Information Technology                            ,235,,235,280,220,,242,242
CT325,Business                                          ,,,,,338,,253,253
CW018,Business (options Wexford)                        ,327,,327,349,298,248,307,
CW028,Early Childhood Education and Care (Wexford)      ,252,,252,308,252,,260,
CW038,Art (portfolio Wexford)                           ,#700,,#700,700,#700,,#700,
CW058,Tourism and Event Management (Wexford)            ,252,,252,262,298,,292,
CW068,Applied Social Studies - Professional Social Care ,251,,251,280,245,,250,
CW078,Sustainable Farm Management and Agribusiness (Wexf,266,,266,320,269,,270,
CW088,Visual Communications and Design (Wexford)        ,309,,309,345,274,,270,
CW108,Science (options)                                 ,261,,261,326,261,,266,
CW128,Brewing and Distilling                            ,271,,271,298,263,,307,
CW138,Sport and Exercise Science                        ,,,,,423,,430,423
CW148,Strength and Conditioning                         ,,,,,379,,388,
CW178,Sport Science (options)                           ,399,,399,424,,,,
CW188,Sport Rehabilitation and Athletic Therapy         ,454,,454,473,451,448,451,
CW208,Computer Games Development                        ,281,,281,338,279,,272,
CW238,Software Development                              ,300,,300,343,297,,295,
CW248,Information Technology Management                 ,307,,307,357,285,,293,
CW258,Cybercrime and IT Security                        ,300,,300,328,293,,292,
CW268,Computing in Interactive Digital Art and Design   ,274,,274,321,287,,291,
CW438,Construction (options)                            ,271,,271,308,272,,260,251
CW468,Architectural Technology                          ,252,,252,290,262,,291,283
CW478,Civil Engineering                                 ,383,348,348,383,433,,465,
CW548,Mechanical Engineering                            ,310,,310,351,321,,330,328
CW558,Electronic Systems                                ,279,,279,338,280,,280,
CW568,Aerospace Engineering                             ,366,,366,422,380,,371,359
CW578,TV and Media Production                           ,327,,327,361,325,,318,
CW708,Law - LLB                                         ,298,,298,328,302,,292,
CW728,Product Design Innovation                         ,276,,286,355,252,,246,
CW748,Early Childhood Education and Care                ,265,,265,338,270,,290,
CW758,Applied Social Studies - Professional Social Care ,290,,290,319,336,,360,358
CW808,Media and Public Relations                        ,262,248,248,307,251,,247,
CW848,Digital Marketing with Analytics                  ,279,,279,307,254,,269,
CW858,Sports Management and Coaching (options portfolio),#700,,#700,700,#700,,#700,
CW908,Business (options)                                ,260,,260,307,280,,272,
CW938,Business with Law                                 ,270,,270,288,283,,270,
CW948,Accounting                                        ,301,,301,408,300,,319,
DB500,Computing                                         ,242,,242,320,218,218,234,234
DB501,Computing (Cloud Computing)                       ,326,,326,329,227,227,,178
DB502,Computing (Data Analytics and Big Data)           ,,,269,269,341,341,267,233
DB503,Computing (Software Development)                  ,242,,242,282,225,225,,
DB504,Computing (Web and Mobile Technology)             ,265,227,227,269,,281,,
DB510,Audio Production and Music Project Management     ,242,242,233,293,234,223,217,217
DB512,Business Studies                                  ,248,229,229,301,218,203,243,210
DB514,Business Studies (Law)                            ,269,269,269,337,252,,239,225
DB515,Business Studies (Human Resource Management)      ,225,,225,288,244,244,242,217
DB516,Financial Services                                ,336,,328,336,,,,
DB517,Event Management                                  ,226,226,226,327,238,,233,225
DB518,Marketing (Digital Media)                         ,270,210,210,289,,209,307,209
DB521,Accounting and Finance                            ,238,,225,271,225,195,243,228
DB524,Business Information Systems                      ,,,402,402,342,309,247,239
DB525,Marketing (Digital Media and Cloud Computing)     ,284,,284,309,,,288,288
DB526,Business Information Systems (Cloud Computing)    ,253,,253,288,347,,244,244
DB527,Applied Social Care                               ,235,,235,288,234,234,254,219
DB531,Marketing                                         ,234,220,220,288,293,,288,176
DB562,Psychology                                        ,244,179,208,310,243,229,244,233
DB566,Social Science                                    ,216,211,216,308,220,220,262,228
DB567,Film                                              ,228,192,192,295,218,202,245,213
DB568,Law                                               ,245,245,245,308,219,219,254,228
DB569,Business (Psychology)                             ,279,279,279,338,252,,240,240
DC001,Education - Early Childhood Education             ,398,,398,424,440,,445,
DC002,Education - Primary Teaching                      ,462*,,462*,485,488,,518*,
DC003,Education - Primary Teaching - Gaeltacht Applicant,#429,,#433,473,#445,,#489,
DC004,Education - Primary Teaching (Church of Ireland Ce,#357,,#357,,#411,#409,#451,
DC005,Education - Primary Teaching - Irish Sign Language,#,,#316,316,,,,
DC009,Arts (Joint Honours) - Humanities                 ,347,,347,408,376,,356,
DC010,Post Primary Teacher Education - Religious Educati,386,,386,413,441,429,384,
DC011,Post Primary Teacher Education - Religious Educati,352,,352,389,412,391,409,
DC012,Post Primary Teacher Education - Religious Educati,#367,,#367,415,#378,,409,
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,410,,410,509,419,,413,
DC014,BA in Jazz and Contemporary Music Performance     ,#435,#428,#428,590,#419,,#311,
DC110,Business Studies International                    ,440,,440,462,465,,498,
DC111,Business Studies                                  ,463,,463,479,488,,511,
DC112,Global Business (France)                          ,495,,495,510,517,510,542*,
DC113,Global Business (Germany)                         ,440,,440,476,462,,484,
DC114,Global Business (Spain)                           ,501,,501,543,522,,544,
DC115,Accounting and Finance                            ,487,,487,500,510,,544,
DC116,Global Business (USA)                             ,578,,578,589,579,,613*,
DC117,Aviation Management / Aviation Management with Pil,463,,463,487,476,475,484,
DC118,Gnó agus Gaeilge / Business and Irish             ,357,,357,399,359,,368,
DC119,Global Business (Canada)                          ,566,,566,577,564,,601,
DC120,Enterprise Computing                              ,350,,350,389,357,,403,402
DC121,Computer Applications                             ,370,,370,418,400,,475,
DC123,Data Science                                      ,467,,467,511,465,,501,
DC126,Actuarial Mathematics                             ,520,,520,543,560,,577*,
DC127,Common Entry into Actuarial and Financial Mathemat,509,,509,531,532,520,541,
DC131,Communication Studies                             ,400,,400,441,407,402,421,
DC132,Journalism                                        ,401,,401,440,429,422,452,
DC133,Multimedia                                        ,403,,403,451,411,410,435,
DC155,Applied Language and Translation Studies          ,371,,371,430,387,,427,
DC161,Analytical Science                                ,446,,446,463,498*,489,498,
DC162,Chemical and Pharmaceutical Sciences              ,488,,488,498,521,,531*,
DC163,Chemical Sciences General Entry (Undenominated Ent,,,,,,,466*,
DC166,Environmental Science and Technology              ,412,,412,442,433,399,423*,
DC167,Physics with Astronomy                            ,434,,434,477,,,,
DC168,Genetics and Cell Biology                         ,489,,489,500,512*,510,543*,
DC171,Applied Physics                                   ,402*,402,402,433,,,,
DC173,Physics with Biomedical Sciences                  ,402*,,402,458,,,,
DC175,Physics General Entry (options)                   ,,,,,419,402,400,
DC180,Biological Sciences General Entry (Undenominated E,,,,,,,530,
DC181,Biotechnology                                     ,476,,476,488,499,495,530,
DC190,Electronic and Computer Engineering (with choice o,391,,391,433,413,,488,
DC193,Mechatronic Engineering                           ,403,,404,445,411,,490,
DC194,Sustainable Systems and Energy                    ,,,,,,,476,
DC195,Mechanical and Manufacturing Engineering          ,401,,401,444,425,,500,
DC197,Biomedical Engineering                            ,402,,402,446,423,,510,
DC200,Common Entry into Engineering (Undenominated Entry,381,,381,444,422,,511,510
DC201,Common Entry into Science (Undenominated Entry)   ,454,,454,477,498*,488,,
DC202,Sport Science and Health                          ,467,,467,476,500,498*,511,
DC203,Science Education                                 ,424,,424,476,435,,462,
DC204,Athletic Therapy and Training                     ,484,,484,500,522,519,558,
DC205,Physical Education with Biology                   ,490,,490,521,531,,565,
DC206,Physical Education with Mathematics               ,443,,443,476,499,,521,
DC207,Psychology and Mathematics                        ,,,,,,,521,
DC208,Psychology                                        ,509,,509,521,532,521,565,
DC209,Health and Society                                ,419,,419,440,465,440,477,
DC210,Psychology and Disruptive Technologies            ,,,,,,,506,
DC215,General Nursing                                   ,414,,414,443,454,433,456*,
DC216,Mental Health Nursing                             ,368,,368,389,418,403,420,
DC217,Intellectual Disability Nursing                   ,347,,347,362,370,,382,
DC218,Children`s and General Nursing (Integrated)       ,473*,467,467,480,500,498,521*,
DC230,Economics Politics and Law                        ,400,,400,431,435,,431,
DC231,International Relations                           ,387,,387,445,397,,398,
DC232,Law and Society (BCL)                             ,453,,453,487,466,,469,
DC235,Education and Training - Daytime Delivery Mode (fu,307,,307,327,309,,302,
DC238,Social Sciences and Cultural Innovation           ,358,,358,388,377,,387,
DC239,Gaeilge  Iriseoireacht agus na Meáin Dhigiteacha  ,,,,,430,,,
DC240,Marketing Innovation and Technology               ,451,,451,474,476,474,499,
DC241,Digital Business and Innovation                   ,,,,,,,509,
DC291,Arts (Joint Honours) - Media Studies              ,349,,349,392,376,,350,
DC292,Arts (Joint Honours) - Law                        ,356,,356,388,403,,400,
DC293,Arts (Joint Honours) - International Languages    ,369,,369,400,377,,379,
DC294,Climate and Environmental Sustainability          ,,,,,,,475,
DC295,Arts (Joint Honours) - Politics                   ,348,,348,387,376,,349,
DK810,Accounting and Finance                            ,306,306,306,391,305,305,307,307
DK816,Business Studies                                  ,300,,300,357,300,300,301,301
DK820,Computing in Games Development                    ,325,325,307,369,311,311,309,309
DK821,Computing in Software Development                 ,305,301,301,347,302,302,320,316
DK822,Augmented and Virtual Reality                     ,,,,,307,,320,320
DK830,Building Surveying                                ,302,302,302,349,336,,305,
DK831,Architectural Technology                          ,301,301,301,366,389,,368,314
DK832,Construction Management                           ,300,300,300,329,387,,358,305
DK843,Engineering (Common Entry)                        ,345,,303,402,340,340,404,391
DK844,Mechanical Engineering                            ,,,,,305,305,336,336
DK845,Electrical &amp; Electronic Engineering           ,,,,,,304,331,331
DK846,Civil Engineering                                 ,,,,,391,361,371,371
DK850,International Tourism Management                  ,,,,,317,317,303,303
DK860,Music                                             ,#499,#499,#499,649,#532,#532,,
DK861,Arts                                              ,307,300,300,358,302,302,302,302
DK862,Social Care                                       ,300,,300,338,301,,322,319
DK863,Creative Media                                    ,300,,300,376,308,308,336,320
DK864,Film and Television Production                    ,300,300,300,332,300,300,308,
DK865,Audio and Music Production                        ,301,301,301,346,301,,352,
DK870,General Nursing                                   ,392,,392,401,403,401,440*,440*
DK872,Intellectual Disability Nursing                   ,300,,300,317,336,,367,366
DK874,Mental Health Nursing                             ,357,356,356,378,356,,398,
DK876,Early Childhood Studies                           ,305,,305,359,321,,300,
DK877,Midwifery                                         ,398*,,398*,441,440,,482,477
DK880,Health and Physical Activity                      ,300,,300,367,328,,301,
DK882,Agriculture (Award options)                       ,303,,303,358,310,,342,
DK883,Science (Award options)                           ,300,,300,369,358,321,373,368
DK884,Sustainable Agriculture                           ,,,,,,,348,
DK885,Agri-Food Production                              ,,,,,,,,
DK886,Biopharmaceutical Science                         ,,,,,301,,379,
DK887,Environmental Science                             ,,,,,330,,377,
DL821,English Media and Cultural Studies                ,211,,211,317,212,212,,
DL822,Arts Management                                   ,209,,209,319,229,229,254,
DL823,Business Studies - Entrepreneurship and Management,261,260,260,316,235,,220,
DL825,Applied Psychology                                ,370,360,349,413,379,,418,413
DL826,Visual Communication Design                       ,#736,,#736,989,#855,,#591,
DL827,Art                                               ,#583,,#583,902,#572,,#574,
DL828,3D Design Modelmaking and Digital Art             ,#691,,#691,866,#506,,,
DL829,Design for Stage and Screen (Costume Design)      ,#847,#817,#817,1021,#593,,,
DL830,Design for Stage and Screen (Makeup Design)       ,#879,,#879,953,#939,,,
DL831,Design for Stage and Screen (Production Design)   ,#880,,#893,1073,#781,,,
DL832,Animation                                         ,#855,,#855,1055,#920,,#989,
DL833,Photography                                       ,#636,,#636,791,#650,,#671,#671
