CODE,TITLE,R1_POINTS_2019,R2_POINTS_2019,EOS_2019,MID_2019,R1_POINTS_2020,R2_POINTS_2020,R1_POINTS_2021,R2_POINTS_2021
DL834,Film and Television Production                    ,#941,#939,#933,1011,#990,,,
DL835,Creative Media Technologies                       ,220,,237,289,,,,
DL836,Creative Computing                                ,217,,217,326,219,,235,
DL837,New Media Studies                                 ,298,290,290,349,201,,298,293
DL838,Creative Music Production                         ,#746,,#746,873,#754,,#713,
DL839,Interaction and User Experience Design            ,,,,,#683,#683,#757,
DL840,Digital Marketing                                 ,,,,,228,228,210,
DL841,English and Equality Studies                      ,,,,,276,,277,277
DL843,Film                                              ,,,,,,,#987,#874
DL844,Television                                        ,,,,,,,#566,
DL845,Design for Film (degree options)                  ,,,,,,,#628,
DN100,Architecture                                      ,486,478,473,509,510,,555,
DN120,Landscape Architecture                            ,370,,353,403,407,,463,435
DN130,City Planning and Environmental Policy            ,388,381,367,421,407,400,445,424
DN150,Engineering (Common Entry)                        ,511,,511,554,531,521,565*,
DN200,Science (options)                                 ,521,,521,554,533,,577,567
DN201,Computer Science (Common Entry)                   ,488,,488,509,510,,554,549
DN230,Actuarial and Financial Studies                   ,577*,577*,577,589,601,,613*,613*
DN240,Sustainability                                    ,,,,,440,,510,
DN250,Agricultural Science (options)                    ,425,423,420,462,456,455,454,444
DN252,Dairy Business                                    ,398,,398,428,410,,,
DN253,Agri - Environmental Sciences                     ,403,,403,419,418,,,
DN261,Food Science                                      ,451,435,434,467,477,,531,
DN262,Human Nutrition                                   ,495,,493,510,531,,566,
DN271,Forestry                                          ,303,,303,361,311,,,
DN272,Horticulture Landscape and Sportsturf Management  ,252,,252,312,297,282,,
DN300,Veterinary Medicine - Undergraduate Entry         ,#567,,#567,589,#589,,#601*,
DN301,Veterinary Medicine - Graduate Entry              ,#,,#,,,,,
DN310,Veterinary Nursing                                ,441,,441,487,478,477,521,509
DN400,Medicine - Undergraduate Entry (HPAT required)    ,#736,#735,#735,745,#737,#736*,#743*,
DN401,Medicine - Graduate Entry (GAMSAT required)       ,#59*,,#59*,61,,,#61*,
DN410,Radiography                                       ,509,508,507,522,534,532*,566*,566*
DN411,Radiography - Graduate Entry                      ,#,,#,,#,,#,
DN420,Physiotherapy                                     ,548,543,542,555,578,577*,601*,601*
DN425,Health and Performance Science                    ,488,,488,509,510,509*,544,543
DN430,Sport and Exercise Management                     ,436,,436,455,455,445,484,476
DN440,Biomedical Health and Life Sciences               ,566,,565*,579,590,589*,613*,613*
DN450,General Nursing                                   ,398,,398,420,429*,424,462*,
DN451,Children`s and General Nursing (Integrated)       ,488,475,462*,499,509,506,533,
DN452,Midwifery                                         ,445,440,409,452,489,476,510,509*
DN453,Mental Health Nursing                             ,392,387,379,403,397,393,442,
DN520,Arts (Two Subjects)                               ,336,,336,408,310,,381,378
DN530,Humanities (options)                              ,348,,348,411,340,336,397,388
DN541,Modern Languages (options)                        ,368,,348,412,303,,320,
DN600,Law (options)                                     ,522,521,520*,532,546,544,576,567*
DN610,Business and Law                                  ,521,,521,543,545,,573,567
DN650,Commerce                                          ,498*,498*,498*,510,521*,521*,555,
DN660,Commerce International (options)                  ,509,,507,531,517,511,555,554*
DN670,Economics and Finance                             ,601,,601,601,613,,625*,625
DN700,Social Sciences (options)                         ,390,389,388,441,421,419,475,474
DN710,Economics                                         ,476,,476,488,498*,498*,534,532*
DN720,Psychology                                        ,517,,517,531,530,522*,566,564
DN750,Social Policy and Sociology                       ,330,,330,366,378,,421,
DT001,Product Design                                    ,433,,433,464,,,,
DT028,Transport Operations and Technology               ,279,,279,348,,,,
DT035,Electrical Services and Energy Management         ,293,,293,340,,,,
DT066,Engineering (General Entry)                       ,401,400,400,457,,,,
DT101,Architecture (test and interview)                 ,#618,,#618,647,,,,
DT106,Planning and Environmental Management             ,312,,312,337,,,,
DT110,Property Economics (Valuation Surveying)          ,367,,367,424,,,,
DT111,Quantity Surveying and Construction Economics     ,390,,391,421,,,,
DT112,Geographic Science                                ,287,,287,335,,,,
DT117,Construction Management                           ,356,,356,373,,,,
DT175,Architectural Technology                          ,388,,388,425,,,,
DT201,Science (General Entry)                           ,464,,464,477,,,,
DT203,Analytical Chemistry (Environmental Forensic and P,341,,341,403,,,,
DT204,Biomedical Science                                ,501,,501,512,,,,
DT205,Mathematical Sciences                             ,315,,315,363,,,,
DT206,Biomedical and Molecular Diagnostics              ,476,473,473,487,,,,
DT211,Computer Science (Infrastructure)                 ,381,,381,414,,,,
DT220,Industrial Mathematics                            ,300,,300,317,,,,
DT221,Physics with Energy and Environment               ,348,,348,436,,,,
DT222,Physics Technology                                ,321,,321,371,,,,
DT223,Human Nutrition and Dietetics                     ,553,,553,566,,,,
DT224,Optometry                                         ,498,,487,529,,,,
DT225,Public Health Nutrition                           ,440,,440,476,,,,
DT227,Science with Nanotechnology                       ,312,,312,361,,,,
DT228,Computer Science                                  ,451,,451,466,,,,
DT229,Clinical Measurement Science                      ,491,,491,509,,,,
DT235,Physics with Medical Physics and Bioengineering   ,357,,357,403,,,,
DT282,Computer Science (International)                  ,377,,377,402,,,,
DT299,Chemical Sciences with Medicinal Chemistry        ,420,,420,445,,,,
DT302,Business Analytics                                ,325,,325,403,,,,
DT304,E-Commerce in Retailing                           ,341,,341,388,,,,
DT321,Business and Law                                  ,462,,462,478,,,,
DT341,Marketing                                         ,400,,400,419,,,,
DT343,Retail and Services Management                    ,301,,301,332,,,,
DT354,Business Computing                                ,322,,322,341,,,,
DT358,Logistics and Supply Chain Management             ,300,,300,359,,,,
DT365,Business and Management                           ,440,,440,456,,,,
DT366,Accounting and Finance                            ,432,,432,454,,,,
DT398,Human Resource Management                         ,375,,375,388,,,,
DT399,Economics and Finance                             ,437,,437,465,,,,
DT401,International Hospitality Management              ,300,,300,337,,,,
DT405,Culinary Science                                  ,308,,308,377,,,,
DT407,Culinary Arts                                     ,271,,271,342,,,,
DT412,Tourism Marketing                                 ,284,,284,322,,,,
DT413,Event Management                                  ,356,,356,389,,,,
DT416,Culinary Entrepreneurship                         ,275,,275,339,,,,
DT420,Nutraceuticals in Health and Nutrition            ,392,,392,432,,,,
DT421,Food Innovation                                   ,321,,321,366,,,,
DT422,Pharmaceutical Healthcare                         ,397,,397,423,,,,
DT491,Environmental Health                              ,343,,343,380,,,,
DT501,Music                                             ,#383,,#383,520,,,,
DT504,Film and Broadcasting                             ,443,,443,467,,,,
DT506,Commercial Modern Music                           ,#583,#536,#468,835,,,,
DT508,Game Design                                       ,403,,403,454,,,,
DT517,Languages and English Studies                     ,419,358,326,419,,,,
DT518,Languages and International Tourism               ,307,,307,357,,,,
DT529,Drama (Performance)                               ,#371,,#371,519,,,,
DT532,Law (LL.B.)                                       ,429,422,422,441,,,,
DT533,Contemporary Visual Culture                       ,261,,#,,,,,
DT544,Interior Design                                   ,#552,,#552,866,,,,
DT545,Design - Visual Communication                     ,#667,,#667,897,,,,
DT546,Fine Art                                          ,#668,,#668,813,,,,
DT555,International Business and Languages              ,353,,353,399,,,,
DT559,Photography                                       ,#700,,#700,926,,,,
DT571,Social Care                                       ,394,,394,424,,,,
DT572,Early Childhood Education                         ,385,,385,403,,,,
DT582,Journalism                                        ,346,,347,373,,,,
DT596,Print Media Technology and Management             ,252,,252,311,,,,
DT597,Creative and Cultural Industries                  ,280,,280,369,,,,
GA181,Accounting                                        ,303,,303,378,309,,303,
GA182,Business                                          ,290,,290,347,287,,285,
GA183,Business Information Systems                      ,309,,309,373,296,,298,
GA184,Marketing and Sales                               ,307,,307,348,307,,300,
GA185,Finance and Economics                             ,307,,307,398,293,,318,
GA186,Business with Entrepreneurship                    ,293,,297,328,280,,287,
GA187,Rural Enterprise and Agri-Business (Mountbellew Ca,280,,280,367,281,,291,
GA281,Film and Documentary                              ,287,,287,360,304,,310,301
GA282,Heritage Studies                                  ,238,,238,308,220,,252,
GA283,Contemporary Art                                  ,260,,260,340,#679,,#790,
GA284,Design                                            ,309,,309,377,303,,331,
GA285,Education (Art  Design and Graphics)              ,,,,,,,406,
GA380,International Hotel Management                    ,225,,225,289,242,,218,
GA381,International Tourism Management                  ,261,,261,290,278,,252,
GA382,Culinary and Gastronomic Science                  ,225,,225,316,206,,235,
GA384,Event Management with Public Relations            ,209,,209,289,212,,230,
GA385,Retail Management                                 ,219,,219,319,,,,
GA480,Construction Management                           ,260,,260,312,260,,302,
GA482,Quantity Surveying and Construction Economics     ,280,,280,340,288,,304,
GA483,Architectural Technology                          ,251,,251,321,265,,281,273
GA484,Civil Engineering                                 ,270,,270,362,290,,377,
GA580,Software and Electronic Engineering               ,301,,301,351,300,,300,
GA680,Mechanical Engineering                            ,336,,336,389,330,,400,
GA681,Energy Engineering                                ,281,,281,328,293,,312,
GA682,Biomedical Engineering                            ,331,,331,383,313,,331,
GA683,Agricultural Engineering                          ,301,,301,365,309,,304,
GA684,Engineering (Common entry to Agri/Biomed/Energy/Me,346,,346,406,340,,413,
GA685,Manufacturing Engineering Design                  ,,,,,309,,336,
GA780,Applied Freshwater and Marine Biology             ,300,,300,360,327,,366,
GA781,Applied Biology and Biopharmaceutical Science     ,317,,317,376,337,,381,
GA782,Chemical and Pharmaceutical Science               ,307,,307,346,336,,356,
GA783,Physics and Instrumentation                       ,373,,373,378,363,,301,
GA784,Science (Undenominated)                           ,325,,327,377,372,,445,
GA785,Medical Science                                   ,451,,451,486,473,,517,510
GA786,Forensic Science and Analysis                     ,300,,300,366,317,,408,
GA787,Computing in Software Development                 ,275,,275,327,270,,310,
GA788,Computing and Digital Media                       ,270,,270,327,274,,270,
GA789,Agriculture and Environmental Management (Mountbel,297,,297,339,287,,340,
GA790,Sport and Exercise Science                        ,350,,350,379,356,,376,366
GA791,Public Health Nutrition                           ,364,,364,397,368,,368,
GA880,General Nursing - Mayo Campus                     ,391,,389*,400,429*,422*,440*,
GA882,Psychiatric Nursing - Mayo Campus                 ,346,,346,370,367,,369,
GA885,Outdoor Education - Mayo Campus                   ,210,,210,298,252,,269,
GA887,History and Geography - Mayo Campus               ,228,,228,296,244,,201,
GA889,Applied Social Care - Mayo Campus                 ,260,,260,297,266,,265,
GA890,Early Childhood Care and Education - Mayo Campus  ,276,,278,319,270,,281,227
GA891,Geography and Outdoor Education                   ,,,,,244,,261,
GA892,Community Development and Youth Work (Level 8)    ,,,,,,,,
GA980,Education (Design Graphics and Construction) - Let,376,,376,389,377,,410,
GA981,Furniture Design and Manufacture - Letterfrack Cam,271,,271,350,,,346,
GA982,Furniture and Wood Technology - Letterfrack Campus,270,,270,352,,,360,
GA983,Furniture and Digital Manufacturing               ,,,,,,,,
GA984,Furniture Design  Making and Technology - Common E,,,,,284,,486,467
GC200,Business Studies (Cork)                           ,310,269,269,359,252,252,269,242
GC201,Accounting and Finance (Cork)                     ,251,251,251,388,303,303,260,226
GC230,Computing Science (Cork)                          ,327,228,228,327,335,325,300,289
GC250,Communications and Media Production               ,,,,,,,,
GC300,Business Studies (Limerick)                       ,251,,251,302,429,,264,264
GC301,Accounting and Finance                            ,307,,307,314,,253,,251
GC302,Business Studies - (HRM Limerick)                 ,,,269,269,,,377,377
GC305,International Hospitality Management (Limerick)   ,,327,327,327,253,253,,
GC307,Business (Marketing)                              ,,,,,,,289,270
GC400,Business Studies (Dublin)                         ,271,246,246,297,248,248,250,228
GC401,Accounting and Finance (Dublin)                   ,246,243,181,309,240,227,242,242
GC402,Business Studies (HRM Dublin)                     ,282,,217,290,264,236,,
GC403,Law (Dublin)                                      ,251,225,225,308,244,228,245,242
GC405,International Hospitality Management (Dublin)     ,254,,254,272,,,,
GC407,Business Studies (Marketing Dublin)               ,263,,246,330,280,280,264,264
GC430,Computing Science (Dublin)                        ,254,242,217,269,252,220,251,251
GC450,Journalism and Visual Media (Dublin)              ,227,227,227,307,254,254,225,225
GC462,Design Communication (Dublin)                     ,,,,,,,#300,
GC489,Interior Architecture (Dublin)                    ,#441,,#267,361,#254,,#288,#274
GC494,Fashion Design (Dublin)                           ,#AQA,#AQA,#,,#337,#217,#351,
GY101,Arts (Joint-Honours)                              ,300,,300,374,300,,327,326
GY104,Arts (Psychology)                                 ,509,507,507,529,523,520,564,555
GY105,Arts (History)                                    ,318,,318,358,301,,357,
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin)      ,330,,330,397,409,,,
GY109,Arts (Mathematics and Education)                  ,411,,411,487,403,,413,
GY110,Arts with Children s Studies                      ,382,,382,409,357,,387,
GY111,Arts with Creative Writing                        ,402,,402,472,330,,421,420
GY112,Arts with Film Studies                            ,338,,338,370,321,,,
GY113,Arts with Human Rights                            ,338,,338,409,368,,413,
GY115,Arts with Performing Arts Studies                 ,328,,328,367,387,,300,
GY118,Arts (Drama Theatre and Performance Studies)      ,410,,410,451,451,,453,430
GY119,Journalism                                        ,410,,410,475,400,,484,473
GY120,Arts (Child Youth and Family: Policy and Practice),309,,309,346,350,,,
GY121,Arts (Children s Studies)                         ,356,,356,389,356,,,
GY122,Na Dána (Cumarsáid agus Gaeilge)                  ,308,,308,399,361,,410,
GY123,BSc (Applied Social Sciences)                     ,356,,357,388,358,,419,
GY124,Arts (Arts with Data Science)                     ,434,,434,466,454,,,
GY125,Arts (Digital Arts and Technology)                ,324,,324,379,328,,403,
GY126,Arts (English and Media Studies)                  ,418,,418,451,391,,,
GY127,Arts (Film and Digital Media)                     ,387,,387,435,401,,430,421
GY128,Arts (Global Languages)                           ,370,,370,440,352,,346,
GY129,Arts (International)                              ,408,,408,477,420,,465,
GY130,Arts (Music)                                      ,400,,400,444,408,,462,
GY131,Arts (History and Globalisation Studies)          ,340,,340,431,360,,,
GY132,Government (Politics Economics and Law)           ,402,,402,444,407,,465,451
GY133,Education (Computer Science and Mathematical Studi,401,,401,466,422,,454,
GY134,Geography and Geosystems                          ,,,,,410,,425,
GY135,Arts (Global Media)                               ,,,,,,,442,
GY136,Na Dána (Léann Teanga - options)                  ,,,,,,,526,
GY201,Commerce                                          ,422,420,420,453,433,,476,
GY202,Commerce (International) with French              ,484,,484,513,484,,520,
GY203,Commerce (International) with German              ,489,,489,541,489,,518,
GY204,Commerce (International) with Spanish             ,484,,484,500,495,,506,
GY206,Business Information Systems (Work Placement &amp;,t,431,431,445,t,465,509,
GY207,Commerce (Accounting) including optional Global Ex,486,,486,510,509,,543,
GY208,Commerce (Gaeilge)                                ,473,,473,488,473,,508,
GY209,Commerce (Global Experience)                      ,509,,509,531,530,,551,
GY250,Law &amp; Business                                ,,436,436,467,487,,510,
GY251,Law                                               ,473,,473,498,499,,542,
GY252,Law &amp; Human Rights                            ,,510,510,521,520,,565,
GY253,Law and Taxation                                  ,,,,,509,,506,
GY254,Law (BCL)  Criminology and Criminal Justice       ,,,,,530,,548,
GY261,Business Studies (International Hotel Management S,#486,,#486,615,#497,,#503,
GY262,Commerce (International Hotel Management Shannon) ,#671,,#671,726,#681,,#709,
GY301,Science                                           ,400,,400,456,433,432,489,488
GY303,Biomedical Science                                ,533,,533,566,556,,613,
GY304,Biotechnology                                     ,473,,473,507,465,,498,495
GY308,Environmental Science                             ,413,,413,440,408,,431,430
GY309,Financial Mathematics and Economics               ,454,,454,498,487,,509,
GY310,Marine Science                                    ,409,,409,456,419,,467,
GY313,Environmental Health and Safety                   ,402,,402,435,412,,412,
GY314,Earth and Ocean Sciences                          ,402,,402,425,403,,422,
GY318,Biopharmaceutical Chemistry                       ,510,,510,532,509,,555,
GY319,Mathematical Science                              ,455,,456,531,476,,543,
GY320,Physics (Degree options: Applied Astrophysics Biom,401,,401,487,402,,465,
GY321,Genetics and Genomics                             ,,,,,508,,532,
GY322,Agricultural Sciences                             ,,,,,,,485,
GY350,Computer Science and Information Technology       ,425,,425,466,403,,495,
GY401,Engineering (Undenominated)                       ,444,,444,499,465,,522,520
GY402,Civil Engineering                                 ,509,,509,543,455,,533,521
GY405,Mechanical Engineering                            ,443,,443,499,454,,541,
GY406,Electronic and Computer Engineering               ,509,,509,547,510,,555,
GY408,Biomedical Engineering                            ,519,,519,543,509,,554,
GY410,Project and Construction Management               ,434,,434,464,403,,431,
GY413,Energy Systems Engineering                        ,532,,532,589,502,,509,
GY414,Electrical and Electronic Engineering             ,454,,454,487,405,,433,
GY501,Medicine (five year/six year course HPAT required),#726*,,#726*,731,#728*,,#737*,#737*
GY502,Occupational Therapy                              ,532,,532,543,555,,601,
GY503,Speech and Language Therapy                       ,532,,529,543,543,,578,
GY504,Podiatric Medicine                                ,434,,434,463,443,,531,526
GY515,General Nursing (Galway and Portiuncula)          ,442,,442,466,476,473,502,496
GY516,Mental Health Nursing                             ,402,388,388,413,440,,475,441
GY517,Midwifery                                         ,440,429,429,468,495,,520,509
ID001,Accounting and Finance                            ,229,,229,291,203,,,
ID002,Business Studies                                  ,285,,285,366,294,,,
ID003,Business Studies with Chinese                     ,,,,,,,,
LC110,Art and Design (Common Entry portfolio)           ,#734,,#734,918,#740,,#794,
LC114,Fashion and Textiles for Product and Costume (port,#900,,#900,988,#880,,#914,
LC115,Art and Design Teacher Education (portfolio)      ,,,,,#942,,#993,
LC220,Digital Marketing                                 ,254,,254,288,262,,263,
LC223,Law and Taxation                                  ,307,,308,372,307,,331,
LC224,Accounting and Finance                            ,300,298,299,382,300,,300,
LC225,Marketing and Management                          ,298,,298,337,298,,298,
LC226,Enterprise and Innovation                         ,243,216,216,298,234,234,255,
LC233,Software Development                              ,300,,300,371,272,,280,
LC234,Interactive Digital Media                         ,219,,219,288,225,,226,
LC236,Internet Systems Development                      ,309,298,298,319,262,260,260,
LC239,Computer Networks and Systems Management          ,335,,335,347,307,,317,
LC241,Construction Management                           ,276,,276,303,255,,326,
LC242,Property Valuation and Management                 ,292,,292,328,282,,308,
LC243,Quantity Surveying                                ,288,281,281,360,294,,278,
LC248,Built Environment (Common Entry)                  ,307,,307,350,288,,300,
LC252,Civil Engineering Management                      ,281,,281,331,270,,264,
LC263,Clinical Technology                               ,282,,282,359,294,,391,
LC265,Forensic and Pharmaceutical Sciences              ,335,,335,368,413,,498,
LC266,Drug and Medicinal Product Analysis               ,236,,236,299,262,,252,
LC275,Electrical Engineering                            ,288,,288,340,298,,361,347
LC288,Mechanical Engineering                            ,307,,307,360,347,346,378,369
LC289,Precision Engineering                             ,304,280,280,369,291,,261,
LC292,Social Care Work                                  ,360,,360,389,367,,374,
LC293,Business Studies with Travel and Tourism Managemen,299,,299,326,307,,271,264
LC294,Business Studies with Event Management            ,271,,271,300,279,,279,
LC295,Business Studies with Sports Management           ,263,,263,298,252,,262,
LC297,Community Development                             ,217,,217,269,235,,272,262
LC320,Business                                          ,338,337,337,378,346,,381,
LC330,Business with Computing                           ,298,,298,326,297,,328,308
LC340,Interior Design                                   ,308,298,298,349,350,,391,368
LC362,Biotechnology and Biopharmaceutical Sciences      ,379,,379,402,413,,429,
LC371,Creative Broadcast and Film Production            ,313,293,298,339,309,,325,310
LC372,Music Technology and Production                   ,357,321,321,369,325,,377,
LC374,Renewable and Electrical Energy Engineering       ,351,317,317,368,318,,337,319
LC375,Industrial Automation &amp; Robotic Systems       ,,321,321,368,317,,309,
LC376,Electronic Engineering                            ,308,,308,346,318,,357,
LC380,Automotive Engineering and Transport Management   ,300,282,282,329,303,298,298,
LC392,Beauty and Spa Management                         ,252,217,217,318,236,,328,317
LC393,Early Childhood Education &amp; Care              ,,270,260,309,236,,309,276
LC401,Early Childhood Education &amp; Care (Thurles)    ,,337,298,387,297,,,
LC402,Social Care Work (Thurles)                        ,209,,209,290,225,,228,
LC408,Environmental and Geographical Sciences (Thurles) ,262,,262,346,279,,279,
LC411,Marketing and Management (Thurles)                ,300,226,226,300,,,,
LC414,Data Analytics and Cyber Security                 ,,,,,236,,,
LC416,Business                                          ,,,,,274,,260,
LC418,Computing - Games Design and Development (Thurles),279,271,271,318,270,,260,256
LC422,Sports Strength and Conditioning (Thurles)        ,308,288,288,333,298,,289,
LC434,Environmental Management in Agriculture (Thurles) ,278,,278,347,297,,,
LC502,Game Art and Design (Clonmel portfolio)           ,#838,,#838,950,#852,,#841,
LC517,Creative Media and Design (Clonmel)               ,229,,229,273,234,,279,
LC518,Digital Animation Production (Clonmel portfolio)  ,#816,,#816,962,#808,,#807,
LC612,Social Care Work (Ennis)                          ,319,,319,338,320,,309,
LC613,Early Childhood Education &amp; Care (Ennis)      ,,346,346,388,242,,,
LM002,Arts (offered in conjunction with Mary Immaculate ,329,,329,388,348,,360*,360
LM019,Social Sciences                                   ,,,,,,,451,
LM020,Law and Accounting                                ,436,,436,476,465,,474,
LM026,Performing Arts (audition required)               ,#307,,#307,367,#303,,#329,
LM028,Criminal Justice                                  ,387,,387,409,418,,420,
LM029,Law Plus                                          ,473,,473,499,490,,530,
LM038,Psychology and Sociology                          ,478,,478,489,500,,530,
LM039,Journalism and New Media                          ,388,,388,430,402,,432,
LM040,European Studies                                  ,348,,350,462,369,,409,
LM044,Applied Languages                                 ,404,,404,473,442,,429,
LM050,Business Studies                                  ,419,,419,455,431,,451,
LM056,International Business                            ,511,,511,543,528,,555*,
LM058,Financial Mathematics                             ,434,,434,543,403,,468,
LM063,Technology Management                             ,372,,372,409,379,,410,
LM066,Environmental Science                             ,,,,,,,430,
LM068,Food Science and Health                           ,400,,400,430,421,,464*,
LM076,Product Design and Technology (portfolio required),#402,,#402,466,#408,,#401,
LM077,Aeronautical Engineering                          ,469,,469,531,520,,567,
LM082,Construction Management and Engineering           ,368,,368,404,398,,446*,
LM089,Sport and Exercise Sciences                       ,444,441,441,466,474,,498*,
LM090,Physical Education with concurrent Teacher Educati,498*,,498*,520,532*,,552,544*
LM091,Languages with concurrent Teacher Education       ,,,,,517,,506,
LM092,Science with Teacher Ed (Biology with Physics/Chem,478,,478,509,507,,521,
LM093,Equine Science                                    ,338,,338,381,339,,367,
LM094,Materials and Architectural Technology with concur,409,405,405,433,440,,475,
LM095,Materials and Engineering Technology with concurre,358,,358,409,367,,425,
LM096,Science with Teacher Ed (Physical Sciences with Ch,382,,382,422,405,,454,
LM097,Mathematics and Computer Science with concurrent T,,,,,402,,465,
LM099,Architecture (portfolio required)                 ,#418,,#419,473,498,,520,
LM100,Physiotherapy                                     ,565*,,565*,577,589*,,613*,
LM101,Medicine - Graduate Entry (GAMSAT required)       ,,,#55*,57,#55*,,#57*,
LM102,Psychology                                        ,498*,495,495,519,509,,534,
LM103,Paramedic Studies (B and C1 Drivers Licence)      ,#313,,#313,403,#392,,#429,
LM105,Exercise and Health Fitness Management            ,,,,,,,441,
LM115,Chemical and Biochemical Engineering              ,456,,456,520,454,,476,
LM116,Engineering (Biomedical/Civil/Design and Manufactu,434,,434,498,476*,,498*,
LM118,Electronic and Computer Engineering               ,401,,401,498,403,,445,
LM121,Computer Science (Computer Systems/Games Dev/Mobil,352,,352,420,351,,402,
LM122,Creative Media and Interaction Design (Digital Des,330,,330,430,327,,382,
LM123,Biological &amp; Chemical Sciences (Biosci/Envir S,I,412,412,455,I,441*,498*,
LM124,Mathematics (Math Science/Maths and Physics/Econom,427,,427,521,437,,455,
LM125,Physics (Applied Physics/Mathematics and Physics) ,405,,405,509,),404,489,
LM150,General Nursing                                   ,440*,,440*,463,475*,,498*,487
LM152,Mental Health Nursing                             ,398,388,388,418,419*,,478,466
LM154,Intellectual Disability Nursing                   ,381*,,381*,408,420,,462,443
LM156,Midwifery                                         ,429,,429,444,469,,521*,508
LY108,Business - Accounting                             ,318,,318,399,309,,312,
LY118,Business                                          ,287,,287,352,290,,288,
LY128,Marketing with Online Technologies                ,,,,,,,261,261
LY208,Law                                               ,300,,300,359,300,,300,290
LY218,Business - with Spanish/Irish options             ,298,,298,367,,,,
LY228,Sports and Exercise (Common Entry)                ,278,,278,330,300,,290,
LY408,Design (Common Entry)                             ,#307,,#307,368,#320,,#301,
LY508,Fire Safety Engineering                           ,270,,270,299,276,,283,
LY518,Quantity Surveying                                ,307,,307,368,301,,304,
LY528,Construction Management                           ,270,267,267,291,271,,262,
LY538,Architectural Technology                          ,,,,,,,234,234
LY608,Mechanical Engineering                            ,304,,304,333,300,,300,
