CODE,TITLE,R1_POINTS_2019,R2_POINTS_2019,EOS_2019,MID_2019,R1_POINTS_2020,R2_POINTS_2020,R1_POINTS_2021,R2_POINTS_2021
LY618,Electronics and Embedded Systems                  ,307,,307,339,312,,321,
LY708,Applied Computing                                 ,300,,300,348,306,,320,
LY748,Computer Science                                  ,,,,,317,317,316,
LY818,Science (Common Entry)                            ,302,,302,371,303,,302,
LY828,Agriculture (Common Entry)                        ,300,,300,342,307,,308,300
LY908,General Nursing                                   ,389*,388*,383,390,400*,,429*,
LY918,Psychiatric Nursing                               ,329,321*,291*,332,357*,,367*,
LY928,Intellectual Disability Nursing                   ,298,297,288,299,326*,,357,
LY968,Early Childhood Care Health and Education         ,300,,300,336,303,,288,
LY978,Health &amp; Social Care (Common Entry)           ,,260,260,299,,280,279,
MH001,Education - Primary Teaching (Froebel)            ,499,,496*,520,507,,564,
MH002,Education - Primary Teaching - Gaeltacht Applicant,#,,#441*,,,,,
MH003,Early Childhood - Teaching and Learning (full-time,,,,,,,381,
MH101,Arts                                              ,316,,316,369,318,,338,336
MH103,Music                                             ,#,,#,367,#,,#,
MH106,Psychology - 3 years                              ,495,,495,499,521,,554,
MH107,Social Science                                    ,326,,326,349,346,,390,
MH109,Media Studies                                     ,317,,317,377,316,,324,
MH116,Community and Youth Work (Full-Time)              ,#,,#,271,#,,#,
MH201,Science                                           ,351*,350,350,392,360,,401,400
MH202,Biotechnology                                     ,429,,429,446,455,,490,489
MH203,Biological and Geographical Sciences              ,,,,,430,,451,
MH204,Physics with Astrophysics                         ,420,,420,488,422,,422,
MH206,Theoretical Physics and Mathematics               ,498,,498,566,510,,521,
MH207,Data Science                                      ,434,,434,466,445,,444,
MH208,Biological and Biomedical Sciences                ,462*,455,451,476,498,,543,
MH209,Psychology (through Science) - 4 years            ,477,473,473,485,498,,529,
MH210,Pharmaceutical and Biomedical Chemistry           ,452,446,446,466,487,,510,
MH212,Science/Computer Science/Mathematics (with Educati,451,444,444,476,;,App,452,443
MH304,Engineering (Computer/Electronic/Communications)  ,371,,371,423,333,333,351,351
MH305,Product Design                                    ,358,,358,411,357,,326,
MH306,Robotics and Intelligent Devices                  ,361,,361,424,361,,362,
MH401,Finance (options)                                 ,352,,352,392,357,,370,
MH402,Quantitative Finance                              ,476,,476,487,476,,476,
MH403,Accounting and Finance                            ,402,,402,432,422,,424,
MH404,Business (options)                                ,400,,400,429,430,,441,
MH405,Equine Business                                   ,357,,357,398,357,,,
MH407,Business and Accounting                           ,401,,401,420,420,,423,
MH411,Entrepreneurship                                  ,357,,358,388,371,,378,
MH501,LLB Law - four year Single Major Law programme    ,451,,451,476,473,,507,
MH502,Law (options)                                     ,410,,410,442,451,,465,
MH601,Computer Science through Arts (options)           ,342,,342,369,352,,381,
MH602,Computer Science through Science (options)        ,352,,357,413,351,,400,
MH603,Computational Thinking                            ,520,,520,543,532,,520,
MH801,Early Childhood - Teaching and Learning (part-time,347,,347,358,327,,AQA,AQA
MH802,Community and Youth Work (part-time in service    ,,,#,,#,#,,#
MH803,Local Studies or Community Studies (part-time even,,#,#,,#,#,,#
MI001,Contemporary &amp; Applied Theatre Studies        ,,345,345,381,,375,209,
MI002,Arts (offered in conjunction with the University o,300,,300,378,300,281,280,
MI004,Education - Primary Teaching - International      ,,,,,577,,589,
MI005,Education - Primary Teaching                      ,473*,,473*,506,495,,522,
MI006,Education - Primary Teaching (Gaeltacht Applicants,#442,,#442,473,#456,,#485,
MI007,Early Childhood Care and Education                ,366,,366,402,357,,409,
MI008,Education and Psychology - Primary Teaching       ,554,552,543,555,588,,590,
MI009,Education Business Studies and Accounting (Thurles,392,,392,420,402,,434,
MI010,Education Business Studies and Religious Studies (,326,,326,355,368,,370,
MI011,Education Irish and Religious Studies (Thurles Cam,377,,377,387,409,,407,
MI012,Education Irish and Business Studies (Thurles Camp,398,,398,440,401,,387,
MI013,Education Mathematics and Gaeilge (Thurles Campus),433,,433,465,444,,509,
MI014,Education  Mathematics and Business Studies       ,,,,,434,,476,
MU001,Theology and Arts                                 ,300,290,290,318,290,290,294,294
MU002,Theology                                          ,308,292,292,377,440,,,
NC003,Computing (Degree Award options)                  ,261,,261,316,260,,271,
NC005,Human Resource Management                         ,297,,297,320,300,,301,
NC009,Business                                          ,297,,297,339,300,,300,
NC010,Psychology                                        ,360,,366,399,400,,420,
NC020,Marketing Practice                                ,270,,270,307,280,,270,
NC022,Accounting and Finance                            ,338,,338,376,337,,330,
NC023,Technology Management (with specialisations)      ,260,,260,303,261,,266,
NC025,Data Science                                      ,AQA,,297,371,,,,
NC030,Early Childhood Education and Care                ,,,,,,,251,251
NM801,Montessori Education                              ,,,,,220,,262,
NM802,Psychology                                        ,,,,,,,228,
PC405,Social Political and Community Studies            ,276,146,251,296,253,216,263,235
PC410,Arts and Humanities (fulfils Teaching Council requ,278,203,203,289,252,209,262,230
PC411,English and History (fulfils Teaching Council requ,270,168,168,289,255,209,243,224
RC001,Medicine - Undergraduate Entry (HPAT required)    ,#729*,#729*,#729,733,#733,,#741,#740*
RC004,Physiotherapy                                     ,542,532*,532*,542,566,,589*,589*
RC005,Pharmacy                                          ,565,555*,555,566,579,,613*,613
RC101,Medicine - Graduate Entry (GAMSAT required)       ,#60*,,#60,62,,,,
SG141,Business                                          ,252,,252,317,261,,262,
SG142,Business in International Marketing and Sales with,270,,270,388,279,,,
SG144,Business in International Marketing and Sales with,280,,280,388,270,,,
SG145,Business and ICT                                  ,,,,,,,279,
SG146,Accounting                                        ,307,,307,347,309,,304,
SG147,Sport with Business                               ,269,,269,316,307,,288,
SG148,Tourism with Event Management                     ,246,,246,282,269,,298,
SG149,Business in Finance and Investment                ,262,,262,357,,,,
SG150,Business in Marketing                             ,,,,,,,298,
SG241,Performing Arts                                   ,279,,279,348,328,,341,
SG242,Early Childhood Care and Education                ,278,,278,318,279,,287,
SG243,Social Care Practice                              ,297,,297,338,301,,309,
SG244,Fine Art                                          ,#355,,#355,496,#505,,#501,
SG245,Creative Design                                   ,254,,261,338,282,,332,
SG246,Computing                                         ,295,,295,368,290,,316,
SG247,English and Psychology                            ,306,,308,336,309,,319,
SG248,Sociology and Politics                            ,282,,282,320,281,,298,
SG249,Writing and Literature                            ,279,,279,338,297,,308,
SG250,Application Design and User Experience            ,290,,290,431,412,,,
SG251,Computing (Smart Technologies)                    ,289,,303,391,327,,,
SG252,Software Development                              ,300,,300,354,307,,310,
SG253,Computer Networks and Cloud Infrastructure        ,273,,273,341,324,,336,
SG254,Writing and Literature Online                     ,,,,,225,225,327,
SG255,Law and Business                                  ,,,,,,,291,
SG341,General Engineering                               ,,,,,,,373,
SG342,Civil Engineering                                 ,,,,,415,,418,
SG343,Quantity Surveying                                ,261,,261,302,311,,300,
SG344,Mechanical Engineering                            ,,,,,,,412,
SG346,Construction Project Management and Applied Techno,286,,289,351,291,,313,
SG347,Architecture                                      ,345,,309,357,360,,403,
SG348,Interior Architecture and Design                  ,,,,,316,,359,
SG349,Electronics and Self Driving Technologies         ,,,,,,,,
SG350,Robotics and Automation                           ,,,,,,,384,
SG441,Environmental Science                             ,297,,297,358,,,,
SG442,Occupational Safety and Health                    ,289,,289,330,290,,307,
SG443,Human Nutrition                                   ,357,,357,419,356,,376,
SG444,Science (Undenominated)                           ,308,,308,369,338,,358,
SG445,Pharmaceutical Science with Drug Development      ,339,,347,369,311,,357,
SG446,Applied Archaeology                               ,289,,289,290,,,,
SG447,Health Science and Physical Activity              ,316,,316,363,328,,326,
SG448,Forensic Investigation and Analysis               ,306,,306,348,306,,308,
SG449,Medical Biotechnology                             ,329,,329,352,341,,315,
SG450,Environmental Science with Ecology (Level 8)      ,,,,,300,,310,
TA022,Creative Digital Media                            ,271,260,260,318,,,,
TA023,Advertising and Marketing Communications          ,235,218,235,299,,,,
TA024,Early Childhood Care and Education                ,217,217,217,307,,,,
TA025,Social Care Practice                              ,261,,261,297,,,,
TA026,International Hospitality and Tourism Management  ,208,208,208,269,,,,
TA027,Botanical Cuisine                                 ,236,,236,273,,,,
TA028,Digital Marketing Technologies                    ,287,220,220,313,,,,
TA121,Accounting and Finance                            ,202,202,202,328,,,,
TA122,Management                                        ,218,218,218,297,,,,
TA123,Marketing Management                              ,207,207,207,284,,,,
TA125,International Business                            ,229,229,229,300,,,,
TA221,Electronic Engineering                            ,251,251,251,321,,,,
TA222,Mechanical Engineering                            ,260,243,243,302,,,,
TA223,Sustainable Energy Engineering                    ,236,236,236,305,,,,
TA224,Biomedical Design                                 ,243,218,218,324,,,,
TA225,Automation Engineering                            ,245,245,235,288,,,,
TA226,Engineering Software                              ,254,243,243,304,,,,
TA321,Pharmaceutical Science                            ,261,,261,298,,,,
TA322,Computing                                         ,195,195,200,294,,,,
TA323,Computing with IT Management                      ,243,243,243,309,,,,
TA326,DNA and Forensic Analysis                         ,300,,300,362,,,,
TA327,Sports Science and Health                         ,341,,341,381,,,,
TA328,Computing with Language (French/German/Spanish)   ,262,262,218,317,,,,
TA329,Computing with Data Analytics                     ,218,218,218,296,,,,
TL801,Animation Visual Effects and Motion Design        ,281,,281,341,281,,#718,
TL802,TV Radio and New Media                            ,306,,306,356,325,,322,
TL803,Music Technology                                  ,264,,264,288,,,,
TL810,Computing with Software Development               ,309,,309,341,310,,308,
TL811,Computing with Games Development                  ,309,,310,334,358,,322,
TL812,Computing with Digital Media                      ,369,,369,369,,,,
TL815,Computing (Degree Award options)                  ,308,,308,378,308,,307,
TL823,Event Management (3 year programme)               ,291,,291,346,299,,293,
TL831,Business Studies (Major Specialism in: Acctng or M,307,,307,372,306,,306,
TL842,Construction Management                           ,,,,,,,,
TL844,Agricultural Engineering                          ,311,,311,368,300,,301,
TL845,Civil Engineering                                 ,300,,300,364,325,,361,
TL847,Manufacturing Engineering                         ,,,,,302,,305,
TL848,Agricultural Science                              ,331,,331,362,308,,307,
TL851,Wildlife Biology (Degree Award options)           ,308,,310,362,309,,309,
TL855,Pharmaceutical Science (Degree Award options)     ,342,,342,386,317,,316,
TL858,Veterinary Bioscience                             ,326,,326,369,308,,317,
TL871,Health and Leisure (Degree Award options)         ,303,,303,346,300,,303,
TL872,Health and Leisure with Massage                   ,288,,288,357,309,,314,
TL873,Coaching and Sports Performance                   ,282,,282,336,289,,308,
TL874,Inclusive Sport and Physical Activity             ,,,,,,,341,
TL880,Early Childhood Care and Education                ,307,,307,347,307,,309,
TL881,Social Care                                       ,308,,308,356,308,,301,
TL889,Counselling with Addiction - Mature applicants onl,,,#,,#,,,
TL890,General Nursing and Mature Applicants             ,407*,,407,431,440*,414,463,
TL891,Mental Health Nursing and Mature Applicants       ,378,368,367*,379,389,378,440,419
TR002,Music                                             ,#435,#414,#414,473,435,429,508,477*
TR003,History                                           ,486,,486,518,497,493,552,543*
TR004,Law                                               ,533,532,532,552,566,565*,590*,589
TR005,Philosophy                                        ,433,411,391,446,442,,510,497
TR006,Psychology                                        ,565,555*,555*,577,567,555*,601*,590
TR007,Clinical Speech and Language Studies              ,509,506,499,529,529,,564*,
TR009,Music Education                                   ,#430,,#430,465,#420,,#496,#486
TR012,History and Political Science                     ,543,532*,532*,557,555,554,,
TR015,Philosophy Political Science Economics and Sociolo,566,,566,577,589,,613*,613*
TR016,Deaf Studies                                      ,357,,337,372,340,,389,
TR017,Law and Business                                  ,576,,576,589,602,,,
TR018,Law and French                                    ,543,532*,532*,554,565,,602*,602
TR019,Law and German                                    ,523,,523,555,543,542,577,567
TR020,Law and Political Science                         ,567,,567,600,602,,,
TR021,Classics Ancient History and Archaeology          ,409,377,377,495,370,,467,462
TR022,Early and Modern Irish                            ,347,,347,407,398,,377,
TR023,English Studies                                   ,497,474,463,511,487,476,546,541*
TR024,European Studies                                  ,520,,520,544,544,542,566,
TR025,Drama and Theatre Studies                         ,#495,#489,#489,531,#564,#530,#543,#519
TR028,Ancient and Medieval History and Culture          ,399,339,339,451,342,,498,463
TR029,Political Science and Geography                   ,497*,497,477,500,526,520,,
TR031,Mathematics                                       ,566,,566,589,531,,579,578
TR032,Engineering                                       ,497,487*,487*,520,510,509*,556,555
TR033,Computer Science                                  ,467,466,465*,488,509,,566*,549
TR034,Management Science and Information Systems Studies,589*,589*,589*,602,613*,,625*,625*
TR035,Theoretical Physics                               ,565,554,554,601,543,,590,589*
TR038,Engineering with Management                       ,522,510*,499,543,532,,589*,589*
TR039,Computer Science and Language                     ,456,435,435,498,454,424,443,
TR040,Middle Eastern and European Languages and Cultures,485,,485,518,466,,520,499
TR041,Religion                                          ,347,,347,393,368,,417,
TR042,Film                                              ,,,,,489,476,531,522
TR043,History of Art and Architecture                   ,,,,,393,354,498,486
TR051,Medicine (HPAT required)                          ,#730,,#730,739,#735*,#734*,#743*,#743*
TR052,Dental Science                                    ,590*,,590*,602,613*,613*,625*,625*
TR053,Physiotherapy                                     ,542*,533*,533*,544,566*,566*,590*,
TR054,Occupational Therapy                              ,521,517,500,520,533,,578*,577*
TR055,Radiation Therapy                                 ,518,510,510,521,543,,577,566
TR056,Human Health and Disease                          ,543,,543,565,565,,601*,
TR060,Biological and Biomedical Sciences                ,520*,511,510*,542,543*,543,578*,577*
TR061,Chemical Sciences                                 ,499,498*,488*,520,517,510,558,554*
TR062,Geography and Geoscience                          ,435*,435,435,485,473,,495,
TR063,Physical Sciences                                 ,510,501,498*,543,498*,498,554,543
TR064,Environmental Science and Engineering             ,,,,,,,555,
TR072,Pharmacy                                          ,567,566*,555*,577,590,,613*,613*
TR080,Global Business                                   ,566*,565,565,577,589*,,613*,
TR081,Business Economic and Social Studies (BESS)       ,520*,519,518*,542,543*,543*,577,567*
TR082,Computer Science and Business                     ,510,,510,542,555,,,
TR083,Sociology and Social Policy                       ,462,451,451,474,498,487,,
TR084,Social Studies (Social Work)                      ,441,423,420*,462,462*,,497,487*
TR085,Business Studies and French                       ,509,,509,553,540,531,564,
TR086,Business Studies and German                       ,474,,474,495,509,499*,530,
TR087,Business Studies and Russian                      ,474,467,467,487,474,465,487,
TR089,Business Studies and Polish                       ,393,,393,434,444,424,391,
TR090,Business Studies and Spanish                      ,518,,510,543,531*,,566,
TR091,General Nursing (Meath and St James`s)            ,402,398,393*,420,429,,462,456*
TR093,General Nursing (Adelaide School of Nursing)      ,#394,#389,#378*,409,#430,#429,#473,
TR095,Mental Health Nursing                             ,361,360,358,377,408,,442,
TR097,Intellectual Disability Nursing                   ,347,346,346,350,396,,412,410
TR911,Children`s and General Nursing (Integrated)       ,485,480,476*,487,511,510,531*,
TR913,Midwifery                                         ,444,440,423,462,478,477*,521,
TU801,Biomedical Design                                 ,,,,,235,,235,
TU802,Electrical Services and Energy Management         ,,,,,317,300,309,
TU803,Electronic Engineering                            ,,,,,243,243,,
TU804,Engineering (Common Entry with Award options)     ,,,,,271,,270,
TU805,Engineering (General Entry)                       ,,,,,402,,466,465
TU806,Sustainable Energy Engineering                    ,,,,,262,,,
TU807,Computer Engineering in Mobile Systems            ,,,,,276,,274,
TU808,Engineering Software                              ,,,,,260,260,,
TU809,Mechanical Engineering                            ,,,,,235,,,
TU810,Mechatronic Engineering                           ,,,,,270,,271,
TU811,Product Design                                    ,,,,,411,,440,434
TU812,Design Technology and Innovation                  ,,,,,270,,278,
TU813,Automation Engineering                            ,,,,,218,218,,
TU814,Transport Operations and Technology               ,,,,,285,251,253,253
TU828,Mechanical Engineering (General Entry)            ,,,,,,,300,
TU829,Electronic Engineering (General Entry)            ,,,,,,,248,248
TU831,Architectural Technology                          ,,,,,410,,423,
TU832,Architecture (Suitability Test and Interview)     ,,,,,#622,,#644,#638
TU833,Construction Management                           ,,,,,367,,396,
TU834,Geographic Science                                ,,,,,288,,315,
TU835,Planning and Environmental Management             ,,,,,313,,330,
TU836,Property Economics (Valuation Surveying)          ,,,,,401,,411,
TU837,Quantity Surveying and Construction Economics     ,,,,,385,,413,
TU838,Sustainable Timber Technology                     ,,,,,,,307,271
TU851,Analytical Chemistry (Environmental Forensic and P,,,,,349,,400,
TU852,Chemical Sciences with Medicinal Chemistry        ,,,,,476,,477,
TU854,Science (General Entry)                           ,,,,,476,,510,
TU855,Science with Nanotechnology                       ,,,,,331,319,322,
TU856,Computer Science                                  ,,,,,476,,499,
TU857,Computer Science (Infrastructure)                 ,,,,,391,,403,
TU858,Computer Science (International)                  ,,,,,377,,395,
TU859,Computing                                         ,,,,,217,234v,251,
TU860,Computing (Information Technology)                ,,,,,260,,270,
TU861,Computing with Language (French/German/Spanish)   ,,,,,308,308,235,235
TU862,Computing with Data Analytics                     ,,,,,226,226,262,
TU863,Digital Forensics and Cyber Security              ,,,,,280,,282,
TU864,DNA and Forensic Analysis                         ,,,,,400,390,500,441
TU865,Computing with IT Management                      ,,,,,226,,235,
TU866,Biomedical and Molecular Diagnostics              ,,,,,487,,522,
TU867,Biomedical Science                                ,,,,,524,,576,566*
TU868,Clinical Measurement Science                      ,,,,,510,,542,
TU869,Environmental Health                              ,,,,,336,,387,
TU870,Human Nutrition and Dietetics                     ,,,,,578,,601*,
TU871,Optometry                                         ,,,,,509,,532,
TU872,Public Health Nutrition                           ,,,,,491,,487,
TU873,Industrial Mathematics                            ,,,,,250,250,,
TU874,Mathematical Sciences                             ,,,,,341,,294,294
TU875,Pharmaceutical Healthcare                         ,,,,,400,,451,
TU876,Pharmaceutical Science                            ,,,,,377,349,445,
TU877,Physics Technology                                ,,,,,308,,314,314
TU878,Physics with Energy and Environment               ,,,,,337,337,339,
TU879,Physics with Medical Physics and Bioengineering   ,,,,,351,,346,
TU880,Physics with Data Science                         ,,,,,578,,412,
TU881,Food Innovation                                   ,,,,,318,,309,
TU882,Nutraceuticals in Health and Nutrition            ,,,,,397,,380,
TU901,Business                                          ,,,,,270,,,
TU902,Business (Common Entry with Award options)        ,,,,,271,,270,
TU903,Business and Management                           ,,,,,463,,477,
TU904,Business and Law                                  ,,,,,462,,462,
TU905,Economics and Finance                             ,,,,,465,,460,
TU906,Human Resource Management                         ,,,,,395,,386,377
TU907,Logistics and Supply Chain Management             ,,,,,300,,300,
TU908,Management                                        ,,,,,262,253,,
TU909,Accounting and Finance                            ,,,,,285,,,
TU910,Accounting and Finance                            ,,,,,444,,420,
TU911,Accounting and Finance                            ,,,,,209,192,,
TU912,Business Analytics                                ,,,,,330,,331,311
TU913,Business and Information Technology               ,,,,,252,,,
TU914,Business Computing                                ,,,,,324,,322,
TU915,International Business                            ,,,,,252,,,
TU916,International Business                            ,,,,,235,235,,
TU917,Law (LLB ) with a Language                        ,,,,,342,,356,
TU918,Law (LLB)                                         ,,,,,451,,463,
TU919,Advertising and Marketing Communications          ,,,,,228,226,219,
TU920,Digital Marketing                                 ,,,,,270,,270,
TU921,Digital Marketing Technologies                    ,,,,,212,212,230,
TU922,Marketing                                         ,,,,,418,,412,
TU923,Marketing Management                              ,,,,,228,276v,,
TU924,E-Commerce in Retailing                           ,,,,,307,,307,
TU925,Retail and Services Management                    ,,,,,301,,307,
TU932,Business (options)                                ,,,,,,,211,
TU933,Accounting and Finance (campus options)           ,,,,,,,251,
TU935,Sports Management and Coaching                    ,,,,,300,,300,
TU936,Sports Science and Health                         ,,,,,410,391,484,
TU941,Botanical Cuisine                                 ,,,,,249,,311,
TU942,Culinary Arts                                     ,,,,,212,212,252,
TU943,Culinary Entrepreneurship                         ,,,,,278,,261,
TU944,Culinary Science                                  ,,,,,316,,336,
TU951,International Hospitality and Tourism Management  ,,,,,184,184,244,
TU952,International Hospitality Management              ,,,,,300,,309,
TU953,Tourism and Digital Marketing                     ,,,,,290,,308,
TU954,Event Management                                  ,,,,,356,,326,
TU955,Sports &amp; Leisure Management                   ,,,,,,217,275,
TU961,Commercial Modern Music                           ,,,,,#608,#608,#536,#536
TU962,Drama (Performance)                               ,,,,,#379,,#448,
TU963,Music                                             ,,,,,#416,,#364,
TU965,International Business and Languages              ,,,,,356,346,357,
TU966,Languages and English Studies                     ,,,,,366,,,
TU967,Languages and International Tourism               ,,,,,308,,298,
TU971,Contemporary Visual Culture                       ,,,,,290,,,
TU972,Creative and Cultural Industries                  ,,,,,281,,,
TU973,Design - Visual Communication                     ,,,,,#717,,#700,
TU974,Fine Art                                          ,,,,,#709,#563,#549,
TU975,Interior Design                                   ,,,,,#632,,#544,
TU976,Photography                                       ,,,,,#695,,#700,
TU978,Creative Industries and Visual Culture            ,,,,,,,299,
TU981,Creative Digital Media                            ,,,,,280,,280,
TU982,Creative Digital Media                            ,,,,,320,311,369,
TU983,Film and Broadcasting                             ,,,,,456,451,462,453
TU984,Game Design                                       ,,,,,381,,414,
TU985,Journalism                                        ,,,,,322,,367,
TU986,Print Media Technology and Management             ,,,,,289,,,
TU989,Early Childhood Care and Education (campus options,,,,,,,270,
TU991,Applied Social Studies in Social Care             ,,,,,325,,326,
TU992,Community and Youth Development                   ,,,,,251,,251,
TU993,Early Childhood Care and Education                ,,,,,270,,,
TU994,Early Childhood Care and Education                ,,,,,321,251,,
TU995,Early Childhood Education                         ,,,,,367,,378,
TU996,Social Care                                       ,,,,,400,,407,
TU997,Applied Social Care                               ,,,,,310,283,320,
WD001,Applied Computing (options)                       ,279,,279,358,260,260,270,261
WD002,Science (options)                                 ,302,,302,377,308,,279,
WD005,Health Sciences (options)                         ,288,,288,347,280,,271,
WD006,Exercise Sciences (options)                       ,282,,282,337,280,,270,
WD007,Engineering (options)                             ,AQA,AQA,287,382,288,288,270,270
WD025,Construction Management and Engineering           ,269,,269,327,269,,262,
WD027,Music                                             ,#AQA,,#290,317,#262,,#321,
WD048,Business (options)                                ,278,,278,357,271,,279,
WD084,Accounting                                        ,307,,307,403,308,,308,
WD091,Hospitality Management                            ,210,,210,281,228,,225,
WD116,General Nursing                                   ,413,,413,430,422,,446,
WD117,Psychiatric Nursing                               ,361,,361,382,366,,415,
WD120,Intellectual Disability Nursing                   ,338,,338,359,377,,390,
WD134,International Business                            ,289,,289,350,290,,267,
WD137,Design (Visual Communications)                    ,AQA,,253,373,271,,252,
WD140,Laws                                              ,290,,290,352,280,,280,
WD144,Architecture                                      ,AQA,,283,385,284,,309,
WD147,Pharmaceutical Science                            ,298,,298,363,293,,288,
WD148,Tourism Marketing                                 ,269,,269,338,,,,
WD149,Early Childhood Studies                           ,288,,288,336,271,,,
WD150,Criminal Justice Studies                          ,271,,271,311,270,,280,
WD152,Visual Art                                        ,AQA,,253,323,AQA,,243,
WD161,Computer Forensics and Security                   ,AQA,,262,401,255,,270,
WD162,Quantity Surveying                                ,260,,260,320,216,,226,
WD163,Psychology                                        ,390,,390,429,434,,456,
WD186,Sports Coaching and Performance                   ,276,,276,327,270,,261,
WD187,Social Science                                    ,271,,271,321,272,,276,
WD191,Agricultural Science                              ,378,,378,421,377,,377,
WD192,Social Care Practice                              ,279,,279,323,270,,271,
WD193,Marketing and Digital Media                       ,290,,290,358,271,,279,
WD194,Culinary Arts                                     ,AQA,,235,331,217,,237,
WD195,Architectural and Building Information Modelling T,266,,266,305,279,,279,
WD200,Arts (options)                                    ,AQA,AQA,221,296,AQA,AQA,201,201
WD210,Software Systems Development                      ,271,,271,329,279,,260,
WD211,Creative Computing                                ,275,,275,322,271,,270,
WD212,Recreation and Sport Management                   ,274,,274,311,270,,262,
WD230,Mechanical and Manufacturing Engineering          ,273,,273,348,253,,230,230
WD231,Early Childhood Care and Education                ,,,,,,,266,
WD232,Business Information Systems                      ,,,,,,,261,261
